Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_0,3.0,56.0,512.0,64.0,1.0,8.0,4.0,0.0,64.0,4.0,4.0,3.0,45420.7738,45420.7738,45420.7738,45420.7738,45420.7738,7131700.0,1231100.0,2274600.0,7086000.0,1219400.0,2251100.0,8296700.0,1165000.0,2362400.0,7045000.0,1229800.0,2184800.0,7128100.0,1230300.0,2272900.0,6.4842,2.1352,5.4373,6.5486,2.3309,5.426,6.6735,2.6978,5.6019,6.4854,2.5746,5.3596,6.5008,2.1735,5.457,100
RocketTile_1,12.0,14.0,0.0,32.0,1.0,20.0,4.0,1.0,64.0,1.0,12.0,2.0,27284.9242,27284.9242,27284.9242,27284.9242,27284.9242,4168000.0,734040.0,1363100.0,4137900.0,723160.0,1344100.0,5406100.0,666620.0,1466900.0,4091600.0,741050.0,1275800.0,4166100.0,733480.0,1362000.0,6.511,2.0168,5.3537,6.4778,2.252,5.3435,6.7448,2.859,5.6912,6.4431,2.5323,5.3108,6.5302,2.0563,5.3765,100
RocketTile_2,6.0,42.0,0.0,64.0,2.0,4.0,8.0,1.0,32.0,4.0,32.0,3.0,46222.2029,46222.2029,46222.2029,46222.2029,46222.2029,7514000.0,1371400.0,2483200.0,7472400.0,1359900.0,2462300.0,8670500.0,1287000.0,2560800.0,7412000.0,1362800.0,2382600.0,7510700.0,1370800.0,2481700.0,6.5566,2.0354,5.4026,6.492,2.2324,5.3564,6.7231,2.7992,5.6699,6.4784,2.5239,5.3441,6.5737,2.0752,5.4246,100
RocketTile_3,3.0,0.0,512.0,32.0,1.0,16.0,4.0,0.0,32.0,2.0,12.0,2.0,26651.376,26651.376,26651.376,26651.376,26651.376,4121600.0,779270.0,1394400.0,4099700.0,772170.0,1381600.0,5180000.0,729180.0,1491200.0,4062100.0,777960.0,1329600.0,4119900.0,778980.0,1393600.0,6.6392,2.204,5.5023,6.5695,2.3782,5.4523,6.6744,2.6969,5.6015,6.5159,2.6464,5.3971,6.6577,2.2438,5.5247,100
RocketTile_4,6.0,0.0,1024.0,64.0,4.0,32.0,8.0,0.0,32.0,1.0,4.0,1.0,42360.421,42360.421,42360.421,42360.421,42360.421,6770700.0,1039200.0,1989600.0,6753500.0,1032400.0,1978600.0,7827500.0,980090.0,2078900.0,6716700.0,1025000.0,1919900.0,6767200.0,1038400.0,1987900.0,6.6275,2.1688,5.4936,6.5504,2.3117,5.426,6.704,2.7543,5.638,6.5234,2.6112,5.4004,6.6436,2.201,5.513,100
RocketTile_5,3.0,14.0,1024.0,32.0,1.0,20.0,4.0,0.0,32.0,4.0,28.0,1.0,34507.3349,34507.3349,34507.3349,34507.3349,34507.3349,5440700.0,1085000.0,1874100.0,5422700.0,1076500.0,1862200.0,74443000.0,46532000.0,58098000.0,73201000.0,47347000.0,57914000.0,5439400.0,1084700.0,1873400.0,6.4578,1.8868,5.2863,6.4013,2.1042,5.2534,-178.7589,-364.8503,-218.9683,6.3633,2.3039,5.2012,6.471,1.913,5.3036,100
RocketTile_6,0.0,56.0,512.0,64.0,4.0,4.0,4.0,1.0,64.0,2.0,12.0,1.0,51281.1763,51281.1763,51281.1763,51281.1763,51281.1763,8125300.0,1220300.0,2355700.0,8093200.0,1210000.0,2338000.0,9240300.0,1136100.0,2428100.0,8009700.0,1205800.0,2255600.0,8121200.0,1219300.0,2353800.0,6.533,1.9905,5.3706,6.4583,2.1728,5.3183,6.7287,2.8003,5.67,6.4508,2.543,5.3214,6.5496,2.0312,5.3949,100
RocketTile_7,3.0,14.0,512.0,64.0,4.0,16.0,4.0,0.0,64.0,2.0,28.0,2.0,51571.0008,51571.0008,51571.0008,51571.0008,51571.0008,8389300.0,1358600.0,2551400.0,8365100.0,1348900.0,2536100.0,9557100.0,1279900.0,2636100.0,8292500.0,1332000.0,2457400.0,8385000.0,1357600.0,2549300.0,6.5056,1.9333,5.3433,6.4285,2.1131,5.282,6.668,2.7146,5.5929,6.439,2.4894,5.3036,6.5233,1.9693,5.3633,100
RocketTile_8,6.0,28.0,0.0,32.0,1.0,24.0,4.0,0.0,64.0,1.0,16.0,3.0,25819.4952,25819.4952,25819.4952,25819.4952,25819.4952,4062300.0,779750.0,1399700.0,4041400.0,772290.0,1387100.0,5153000.0,726430.0,1502100.0,4017700.0,780090.0,1340400.0,4060600.0,779450.0,1398900.0,6.5351,2.0056,5.3765,6.4583,2.1667,5.3136,6.6989,2.7691,5.6333,6.4359,2.4737,5.2985,6.5535,2.0432,5.4005,100
RocketTile_9,3.0,0.0,128.0,32.0,4.0,28.0,8.0,0.0,64.0,1.0,32.0,2.0,38001.0154,38001.0154,38001.0154,38001.0154,38001.0154,6200800.0,1153800.0,2070900.0,6173700.0,1145800.0,2056300.0,7300600.0,1095100.0,2163100.0,6134400.0,1145500.0,1997700.0,6197900.0,1153200.0,2069500.0,6.5961,2.1334,5.4556,6.5379,2.3163,5.4121,6.6972,2.7437,5.6385,6.4943,2.6213,5.3699,6.6081,2.1599,5.4707,100
RocketTile_10,12.0,56.0,128.0,32.0,1.0,16.0,8.0,0.0,32.0,2.0,16.0,1.0,27595.0224,27595.0224,27595.0224,27595.0224,27595.0224,4138100.0,727140.0,1329800.0,4102100.0,716720.0,1310600.0,5318400.0,664560.0,1431500.0,4054500.0,732970.0,1251200.0,4136400.0,726720.0,1328900.0,6.5147,1.9692,5.3526,6.441,2.1485,5.2977,6.7197,2.8087,5.6634,6.3993,2.4262,5.2573,6.5298,2.0008,5.3713,100
RocketTile_11,0.0,14.0,1024.0,32.0,2.0,24.0,4.0,0.0,64.0,1.0,16.0,1.0,27557.1562,27557.1562,27557.1562,27557.1562,27557.1562,4148200.0,701100.0,1297100.0,4119400.0,693200.0,1282200.0,5201800.0,649690.0,1393000.0,4107100.0,696440.0,1236000.0,4146200.0,700720.0,1296200.0,6.5609,2.0332,5.4007,6.4771,2.2091,5.3375,6.6491,2.647,5.5721,6.4283,2.4822,5.2909,6.581,2.076,5.4266,100
