Design,Frequency,chipfinish_Cell_Area,chipfinish_Fast_Power,chipfinish_Fast_WNS,chipfinish_Slow_Power,chipfinish_Slow_WNS,chipfinish_Typical_Power,chipfinish_Typical_WNS,cts_Cell_Area,cts_Fast_Power,cts_Fast_WNS,cts_Slow_Power,cts_Slow_WNS,cts_Typical_Power,cts_Typical_WNS,floorplan_Cell_Area,floorplan_Fast_Power,floorplan_Fast_WNS,floorplan_Slow_Power,floorplan_Slow_WNS,floorplan_Typical_Power,floorplan_Typical_WNS,placement_Cell_Area,placement_Fast_Power,placement_Fast_WNS,placement_Slow_Power,placement_Slow_WNS,placement_Typical_Power,placement_Typical_WNS,route_Cell_Area,route_Fast_Power,route_Fast_WNS,route_Slow_Power,route_Slow_WNS,route_Typical_Power,route_Typical_WNS,xlen,decoders,lanes,decoder-at,dispatcher-at,relaxed-branch,relaxed-shift,relaxed-btb,with-mul,with-div,with-rvc,with-aligner-buffer,with-dispatcher-buffer,with-gshare,with-btb,with-ras,with-late-alu,btb-sets,btb-hash-width,regfile-async,allow-bypass-from,fetch-l1,lsu-l1,fetch-l1-sets,fetch-l1-ways,fetch-l1-mem-data-width-min,fetch-reduced-bank,lsu-l1-sets,lsu-l1-ways,lsu-l1-store-buffer-slots,lsu-l1-store-buffer-ops,lsu-l1-refill-count,lsu-l1-writeback-count,with-lsu-bypass,with-iterative-shift,div-radix,div-ipc
VexiiRiscv_0,800MHz,63768.1160,5.4264e+07,0.3500,1.7442e+07,-0.0821,2.9417e+07,0.2311,36864.7270,4.9932e+07,0.3913,1.5816e+07,-0.0001,2.6520e+07,0.2652,36169.1270,3.8043e+09,-181.6091,9.1808e+08,-332.2815,1.7018e+09,-212.6717,36395.5310,5.9094e+08,0.3901,3.7432e+08,-0.0005,4.6968e+08,0.2586,36916.0270,5.4251e+07,0.4102,1.7439e+07,-0.0168,2.9411e+07,0.2856,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,2,1,3,0,3,2,0,4,0,0,1,1,1,0
VexiiRiscv_0,400MHz,62826.1660,3.5378e+07,1.0131,8.5041e+06,-0.0751,1.6028e+07,0.7121,36073.2430,3.3015e+07,1.0159,7.6851e+06,0.0012,1.4479e+07,0.7331,35513.2800,1.9107e+09,-180.3535,4.5904e+08,-330.1834,8.5210e+08,-209.7526,35773.6790,3.0178e+08,0.8910,1.8835e+08,0.0003,2.3567e+08,0.6080,36117.3610,3.5372e+07,1.1078,8.5022e+06,-0.0099,1.6024e+07,0.8156,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,2,1,3,0,3,2,0,4,0,0,1,1,1,0
VexiiRiscv_0,100MHz,62826.1660,1.8909e+07,6.5763,2.1378e+06,2.4092,5.4086e+06,5.6059,36077.1150,1.8283e+07,6.8225,1.9335e+06,2.9780,5.0140e+06,5.8713,35513.2800,4.9063e+08,-172.8535,1.1476e+08,-322.6834,2.1485e+08,-202.2526,35761.1750,8.5333e+07,6.9346,4.8900e+07,3.8130,6.0266e+07,6.0406,36089.6590,1.8904e+07,6.9429,2.1370e+06,2.9484,5.4065e+06,6.0054,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,2,1,3,0,3,2,0,4,0,0,1,1,1,0
VexiiRiscv_1,100MHz,16578.7370,4.1853e+06,7.9344,6.8739e+05,5.3751,1.3620e+06,7.3542,9642.1020,4.0950e+06,8.0489,6.5399e+05,5.6866,1.3001e+06,7.4581,9497.7370,7.3413e+07,8.9881,4.6001e+07,7.8753,5.7505e+07,8.6795,9518.4350,7.1811e+07,8.0003,4.7008e+07,6.0659,5.7273e+07,7.4397,9644.2630,4.1841e+06,8.1150,6.8715e+05,5.6273,1.3615e+06,7.5305,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,2,1,0,0,0,0,2,1,3,0,1,2,0,5,0,1,1,0,0,1
VexiiRiscv_1,800MHz,16655.3180,1.4238e+07,0.4531,5.6129e+06,-0.0477,8.3560e+06,0.3168,9735.5780,1.3666e+07,0.4709,5.3443e+06,0.0001,7.9163e+06,0.3258,9518.6950,5.5888e+08,0.4700,3.6800e+08,-0.1450,4.5613e+08,0.2774,9571.1580,5.5666e+08,0.4260,3.6850e+08,0.0002,4.5596e+08,0.2977,9777.6570,1.4235e+07,0.4985,5.6118e+06,-0.0166,8.3540e+06,0.3545,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,2,1,0,0,0,0,2,1,3,0,1,2,0,5,0,1,1,0,0,1
VexiiRiscv_1,400MHz,16578.7370,8.8088e+06,1.1896,2.7236e+06,-0.0745,4.3818e+06,0.8748,9636.7390,8.5000e+06,1.2003,2.5889e+06,0.0018,4.1487e+06,0.8765,9502.8400,2.8136e+08,1.4883,1.8400e+08,0.3755,2.2833e+08,1.1797,9529.1870,2.7944e+08,1.1216,1.8478e+08,0.0002,2.2810e+08,0.8119,9647.4920,8.8066e+06,1.2815,2.7230e+06,0.0263,4.3807e+06,0.9708,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,2,1,0,0,0,0,2,1,3,0,1,2,0,5,0,1,1,0,0,1
VexiiRiscv_10,800MHz,97402.9680,7.2720e+07,0.3837,2.3487e+07,-0.0647,3.9056e+07,0.2594,56458.5100,6.8514e+07,0.3993,2.1409e+07,-0.0000,3.5691e+07,0.2684,55072.8490,6.1891e+09,-181.5997,9.0524e+08,-331.4584,2.2474e+09,-211.0080,55645.3840,6.1079e+08,0.3835,3.7892e+08,0.0000,4.7831e+08,0.2558,56642.9300,7.2700e+07,0.4492,2.3482e+07,-0.0164,3.9046e+07,0.3287,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,5,1,3,1,3,3,2,0,1,1,1,0,1,0
VexiiRiscv_10,100MHz,97402.9680,2.5829e+07,6.8378,2.9189e+06,3.1440,7.1872e+06,5.9745,55818.4500,2.5236e+07,7.0885,2.6569e+06,3.6248,6.7367e+06,6.2141,55054.0930,7.9552e+08,-172.8722,1.1318e+08,-322.8586,2.8389e+08,-202.3930,55484.2340,9.2213e+07,7.0997,4.9809e+07,4.3938,6.1861e+07,6.3193,55926.0570,2.5821e+07,7.2547,2.9176e+06,3.7701,7.1841e+06,6.4068,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,5,1,3,1,3,3,2,0,1,1,1,0,1,0
VexiiRiscv_10,400MHz,97402.9680,4.6677e+07,1.0010,1.1694e+07,-0.0703,2.1253e+07,0.7200,55911.2690,4.4322e+07,1.0949,1.0643e+07,0.0008,1.9447e+07,0.7860,55054.0930,3.1030e+09,-180.3722,4.5269e+08,-330.3586,1.1245e+09,-209.8930,55502.3050,3.1453e+08,1.0303,1.9085e+08,-0.0004,2.4034e+08,0.7244,56056.8240,4.6664e+07,1.1507,1.1692e+07,0.0362,2.1247e+07,0.8600,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,5,1,3,1,3,3,2,0,1,1,1,0,1,0
VexiiRiscv_100,800MHz,11779.3010,1.2572e+07,0.4320,6.2884e+06,-0.0552,8.2968e+06,0.2990,7089.0300,1.2478e+07,0.4615,6.2309e+06,0.0001,8.2180e+06,0.3196,6801.8460,5.5509e+08,0.3033,3.6916e+08,-0.4040,4.5593e+08,0.0801,6879.9730,5.5505e+08,0.4438,3.6936e+08,-0.0005,4.5606e+08,0.3068,7151.2610,1.2569e+07,0.4861,6.2875e+06,-0.0232,8.2953e+06,0.3396,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,3,0,0,0,1,1,1,0,1,0,0,1
